{'text': 'at least', 'start': 6.14, 'duration': 3.34}
{'text': "I'm not black I don't have the", 'start': 8.099, 'duration': 2.881}
{'text': "experience it's hard for me to and", 'start': 9.48, 'duration': 2.94}
{'text': "you're making some really extreme", 'start': 10.98, 'duration': 2.52}
{'text': 'statements I was hard for me because I', 'start': 12.42, 'duration': 2.099}
{'text': 'can just I can only sit here not in my', 'start': 13.5, 'duration': 2.639}
{'text': "head I can't really truly say if I agree", 'start': 14.519, 'duration': 2.76}
{'text': 'or disagree I can only get perspectives', 'start': 16.139, 'duration': 3.9}
{'text': 'to other black people but um like yeah', 'start': 17.279, 'duration': 4.201}
{'text': "I'm not I'm not black and like the black", 'start': 20.039, 'duration': 3.541}
{'text': 'experience is like very complicated in', 'start': 21.48, 'duration': 3.48}
{'text': 'the united even in one city the black', 'start': 23.58, 'duration': 2.52}
{'text': 'experience might be really complicated', 'start': 24.96, 'duration': 2.94}
{'text': 'from hood to hood or person to person or', 'start': 26.1, 'duration': 3.72}
{'text': "school to school uh I can't speak on", 'start': 27.9, 'duration': 3.779}
{'text': 'behalf of like all mixed race people or', 'start': 29.82, 'duration': 3.419}
{'text': 'black men or anything else yeah like I', 'start': 31.679, 'duration': 2.581}
{'text': "can't do it", 'start': 33.239, 'duration': 4.081}
{'text': "me I'm sorry you're right it's okay let", 'start': 34.26, 'duration': 5.16}
{'text': 'me finish my point let me finish my', 'start': 37.32, 'duration': 4.8}
{'text': 'point yes wait let me finish my point', 'start': 39.42, 'duration': 5.58}
{'text': 'you can fit you can finish let me finish', 'start': 42.12, 'duration': 6.18}
{'text': 'my paint you can you can I got you maybe', 'start': 45.0, 'duration': 5.52}
{'text': 'you can say that stop interrupting and', 'start': 48.3, 'duration': 3.419}
{'text': "I'll finish a point and it won't take", 'start': 50.52, 'duration': 4.08}
{'text': "that long and I've got you I bet you", 'start': 51.719, 'duration': 5.34}
{'text': 'believe that anyways at least as a black', 'start': 54.6, 'duration': 4.5}
{'text': "man who's on your side I just I got you", 'start': 57.059, 'duration': 4.14}
{'text': 'just wait your turn and then we can we', 'start': 59.1, 'duration': 5.059}
{'text': "can get them you're not on my side", 'start': 61.199, 'duration': 6.42}
{'text': 'all right well why are you like this no', 'start': 64.159, 'duration': 5.5}
{'text': 'hold up you you just asked me I want to', 'start': 67.619, 'duration': 3.781}
{'text': 'actually know that no no no Abba why are', 'start': 69.659, 'duration': 4.28}
{'text': 'you like this', 'start': 71.4, 'duration': 2.539}
{'text': "and I'll explain further why I use the", 'start': 74.52, 'duration': 4.62}
