{'text': '[Music]', 'start': 0.76, 'duration': 3.17}
{'text': 'yee', 'start': 14.92, 'duration': 3.0}
{'text': '421 million dollars in personal', 'start': 18.52, 'duration': 6.28}
{'text': 'liability debts what does that mean', 'start': 21.6, 'duration': 4.72}
{'text': 'disease does this include like a', 'start': 24.8, 'duration': 3.28}
{'text': 'mortgage why would a man', 'start': 26.32, 'duration': 5.039}
{'text': 'have 421 million against his own person', 'start': 28.08, 'duration': 5.36}
{'text': 'as opposed to businesses unless he was', 'start': 31.359, 'duration': 3.521}
{'text': 'in like pretty big', 'start': 33.44, 'duration': 4.88}
{'text': 'financial trouble damn lots of mortgages', 'start': 34.88, 'duration': 4.72}
{'text': 'on his properties', 'start': 38.32, 'duration': 3.44}
{'text': "if it's all mortgages on like massive", 'start': 39.6, 'duration': 4.479}
{'text': 'like i want to see like liability to', 'start': 41.76, 'duration': 4.08}
{'text': "assets is what i'm curious about", 'start': 44.079, 'duration': 4.48}
{'text': 'like liability is boring right like i', 'start': 45.84, 'duration': 4.399}
{'text': 'have over 150 000', 'start': 48.559, 'duration': 4.241}
{'text': '250 000 i think in like liability but', 'start': 50.239, 'duration': 4.241}
{'text': 'like i also have two cars and a [\xa0__\xa0]', 'start': 52.8, 'duration': 2.96}
{'text': "house to show for it like it's", 'start': 54.48, 'duration': 3.52}
{'text': 'but yeah we keep getting do you think', 'start': 55.76, 'duration': 3.76}
{'text': 'trump is a good businessman overall', 'start': 58.0, 'duration': 2.239}
{'text': 'though', 'start': 59.52, 'duration': 4.16}
{'text': "um it doesn't seem to be the case", 'start': 60.239, 'duration': 5.2}
{'text': "um i don't know how reliable it is when", 'start': 63.68, 'duration': 3.36}
{'text': "you're talking about these sums of money", 'start': 65.439, 'duration': 4.081}
{'text': 'but it sounds like this is a little bit', 'start': 67.04, 'duration': 3.6}
{'text': 'crude', 'start': 69.52, 'duration': 2.4}
{'text': 'it sounds as though he could have', 'start': 70.64, 'duration': 3.519}
{'text': 'generated a lot more value by simply', 'start': 71.92, 'duration': 2.72}
{'text': 'like', 'start': 74.159, 'duration': 2.32}
{'text': 'investing in mutual funds with the', 'start': 74.64, 'duration': 3.2}
{'text': 'amount of cash that he started with', 'start': 76.479, 'duration': 2.721}
{'text': 'rather than trying to invest in business', 'start': 77.84, 'duration': 3.2}
{'text': 'on his own um', 'start': 79.2, 'duration': 3.44}
{'text': 'but more importantly if the early part', 'start': 81.04, 'duration': 3.36}
{'text': 'of this article is true', 'start': 82.64, 'duration': 3.44}
{'text': 'or if the trend continues it almost', 'start': 84.4, 'duration': 3.28}
{'text': 'sounds like', 'start': 86.08, 'duration': 3.76}
{'text': 'he basically sucks asset business he', 'start': 87.68, 'duration': 3.2}
{'text': 'made a bit of money', 'start': 89.84, 'duration': 3.2}
{'text': 'playing celebrity unlike the apprentice', 'start': 90.88, 'duration': 3.76}
{'text': "and then he's using that to fund more", 'start': 93.04, 'duration': 3.039}
