{'text': "it's cool", 'start': 0.0, 'duration': 4.08}
{'text': '[Laughter]', 'start': 1.25, 'duration': 4.43}
{'text': "i can't believe that tate was so fragile", 'start': 4.08, 'duration': 4.0}
{'text': 'here he got like absolutely', 'start': 5.68, 'duration': 4.8}
{'text': 'blasted like his mind is destroyed right', 'start': 8.08, 'duration': 4.4}
{'text': 'now you know the vibe that i have right', 'start': 10.48, 'duration': 2.88}
{'text': 'now', 'start': 12.48, 'duration': 3.279}
{'text': "what's the vibe i think i can fix and", 'start': 13.36, 'duration': 4.72}
{'text': 'ship you and hassan', 'start': 15.759, 'duration': 3.6}
{'text': 'absolutely', 'start': 18.08, 'duration': 2.4}
{'text': 'you believe earth is flat around', 'start': 19.359, 'duration': 3.041}
{'text': 'spherical globe', 'start': 20.48, 'duration': 3.44}
{'text': "you believe it's around right but when", 'start': 22.4, 'duration': 4.879}
{'text': "you walk outside it feels like it's flat", 'start': 23.92, 'duration': 6.4}
{'text': 'brother brother and i i it looks flat it', 'start': 27.279, 'duration': 4.641}
{'text': "feels flat but you believe it's round", 'start': 30.32, 'duration': 4.399}
{'text': 'why do you believe the earth is round', 'start': 31.92, 'duration': 4.72}
{'text': 'because i have personal experience that', 'start': 34.719, 'duration': 3.601}
{'text': 'would prove to me that the earth is', 'start': 36.64, 'duration': 4.0}
{'text': 'around oh', 'start': 38.32, 'duration': 5.04}
{'text': 'what a dumb', 'start': 40.64, 'duration': 2.72}
{'text': 'epistemically tate is literally like', 'start': 43.44, 'duration': 4.16}
{'text': "i know things are real because i've seen", 'start': 46.0, 'duration': 3.2}
{'text': 'them unironically but he would say that', 'start': 47.6, 'duration': 4.56}
{'text': "i think it's profound", 'start': 49.2, 'duration': 4.48}
{'text': 'your personal experience what happened', 'start': 52.16, 'duration': 3.2}
{'text': 'did you go up to the [\xa0__\xa0] moon is', 'start': 53.68, 'duration': 3.44}
{'text': 'that how you figured it out actually i', 'start': 55.36, 'duration': 3.76}
{'text': 'flew up into space and i looked down on', 'start': 57.12, 'duration': 5.279}
{'text': "her and i just called it's crazy okay", 'start': 59.12, 'duration': 4.56}
{'text': "you don't have to hey listen you don't", 'start': 62.399, 'duration': 2.4}
{'text': 'have to concede on that point but i', 'start': 63.68, 'duration': 2.64}
{'text': 'think you and i both understand the', 'start': 64.799, 'duration': 3.201}
{'text': 'importance of scientific', 'start': 66.32, 'duration': 2.32}
{'text': 'uh', 'start': 68.0, 'duration': 2.0}
{'text': 'the importance of empirical evidence in', 'start': 68.64, 'duration': 5.2}
{'text': 'that one right or or you know', 'start': 70.0, 'duration': 3.84}
{'text': 'and i thought', 'start': 74.0, 'duration': 3.28}
