{'text': '99.9 survival rate yeah i remember', 'start': 1.399, 'duration': 4.201}
{'text': 'hearing this so often brought out by', 'start': 3.679, 'duration': 3.2}
{'text': 'conservatives so there was some estimate', 'start': 5.6, 'duration': 2.56}
{'text': 'at the beginning that like millions of', 'start': 6.879, 'duration': 2.72}
{'text': 'people would die if we did nothing and', 'start': 8.16, 'duration': 3.28}
{'text': 'everybody all the conservatives laughed', 'start': 9.599, 'duration': 3.2}
{'text': 'at the numbers that was impossible and', 'start': 11.44, 'duration': 2.8}
{'text': 'here we are after doing all the things', 'start': 12.799, 'duration': 2.401}
{'text': 'we did like two years later and a', 'start': 14.24, 'duration': 2.16}
{'text': 'million people still die what do you', 'start': 15.2, 'duration': 2.4}
{'text': "mean nobody died there's a lot of people", 'start': 16.4, 'duration': 2.24}
{'text': 'that died from this million people in', 'start': 17.6, 'duration': 2.64}
{'text': "two years that's not bad at all i think", 'start': 18.64, 'duration': 3.04}
{'text': 'more people died because the hospitals', 'start': 20.24, 'duration': 3.119}
{'text': 'closed from other diseases if the', 'start': 21.68, 'duration': 4.0}
{'text': 'hospitals were closed it was because the', 'start': 23.359, 'duration': 3.84}
{'text': 'hospitals were all filled up from like', 'start': 25.68, 'duration': 3.2}
{'text': 'people with the coronavirus yeah and', 'start': 27.199, 'duration': 2.961}
{'text': 'that was with us doing all the', 'start': 28.88, 'duration': 2.399}
{'text': 'protective measures we did if we would', 'start': 30.16, 'duration': 2.079}
{'text': 'have done nothing would have been like', 'start': 31.279, 'duration': 2.171}
{'text': '10 times worse', 'start': 32.239, 'duration': 2.32}
{'text': '[Music]', 'start': 33.45, 'duration': 3.99}
{'text': 'nobody give okay no i agree nobody cares', 'start': 34.559, 'duration': 6.32}
{'text': "but that's because nobody gives a [\xa0__\xa0]", 'start': 37.44, 'duration': 3.439}
{'text': 'yeah i know i see you when you stream', 'start': 41.04, 'duration': 2.88}
{'text': 'and you got minecraft open you got', 'start': 42.64, 'duration': 3.12}
{'text': 'everything open you you', 'start': 43.92, 'duration': 3.36}
{'text': 'really got this computer [\xa0__\xa0] figured', 'start': 45.76, 'duration': 2.639}
{'text': 'out you got like 10 things going on at', 'start': 47.28, 'duration': 2.16}
{'text': 'the same time you seem like a really', 'start': 48.399, 'duration': 2.881}
{'text': 'fast-paced thinker', 'start': 49.44, 'duration': 3.92}
{'text': "um or i just have adhd i don't know man", 'start': 51.28, 'duration': 3.279}
{'text': "i i've been doing a lot of she's not", 'start': 53.36, 'duration': 2.879}
{'text': 'real', 'start': 54.559, 'duration': 3.041}
{'text': 'we have that in common too every single', 'start': 56.239, 'duration': 2.401}
{'text': "day on the chat i'll be screaming i", 'start': 57.6, 'duration': 2.639}
{'text': "think that's why that's what makes uh", 'start': 58.64, 'duration': 3.599}
{'text': 'streamers entertaining is like adhd but', 'start': 60.239, 'duration': 3.441}
{'text': "i think it's just a quick thinking brain", 'start': 62.239, 'duration': 3.121}
{'text': 'right', 'start': 63.68, 'duration': 3.759}
{'text': 'i think nh is a little bit more we have', 'start': 65.36, 'duration': 3.2}
{'text': 'a little bit more of a sophisticated', 'start': 67.439, 'duration': 2.321}
{'text': 'understanding of it than just like quick', 'start': 68.56, 'duration': 3.12}
{'text': 'thinking brain', 'start': 69.76, 'duration': 4.0}
{'text': "what's your understanding of it", 'start': 71.68, 'duration': 3.84}
{'text': "um damn i don't know how dave you want", 'start': 73.76, 'duration': 3.2}
{'text': 'to get into it um people that have', 'start': 75.52, 'duration': 2.959}
{'text': 'problems regulating the executive', 'start': 76.96, 'duration': 2.56}
{'text': 'functions of their brain so like', 'start': 78.479, 'duration': 2.32}
{'text': 'assigning like tasks or figuring out', 'start': 79.52, 'duration': 2.4}
{'text': 'like what you want to be working with or', 'start': 80.799, 'duration': 2.241}
{'text': 'thinking about a particular point in', 'start': 81.92, 'duration': 3.36}
{'text': 'time seems like people with adhd have a', 'start': 83.04, 'duration': 4.24}
{'text': 'really big problem doing that although', 'start': 85.28, 'duration': 3.36}
{'text': 'they can hyper focus on some things if', 'start': 87.28, 'duration': 3.12}
{'text': 'they are interested in them but', 'start': 88.64, 'duration': 3.2}
{'text': 'otherwise they get distracted really', 'start': 90.4, 'duration': 2.64}
{'text': 'easily have a hard time focusing on', 'start': 91.84, 'duration': 2.16}
{'text': "things that otherwise people wouldn't", 'start': 93.04, 'duration': 2.079}
{'text': 'have yeah but is that really a mental', 'start': 94.0, 'duration': 3.119}
{'text': 'disability or is that just a yeah i see', 'start': 95.119, 'duration': 4.0}
{'text': 'that as a superpower', 'start': 97.119, 'duration': 3.201}
{'text': "well i mean i mean if you're lucky", 'start': 99.119, 'duration': 2.401}
{'text': 'enough to be a [\xa0__\xa0] video game', 'start': 100.32, 'duration': 2.24}
{'text': 'streamer that can play games and run', 'start': 101.52, 'duration': 1.919}
{'text': "around and talk to people it's probably", 'start': 102.56, 'duration': 1.919}
{'text': "a superpower but if you're trying to", 'start': 103.439, 'duration': 2.161}
{'text': 'study for something in like an', 'start': 104.479, 'duration': 2.241}
{'text': "engineering degree it's probably going", 'start': 105.6, 'duration': 3.36}
{'text': 'to [\xa0__\xa0] you hardcore right so like what', 'start': 106.72, 'duration': 3.12}
{'text': "what's", 'start': 108.96, 'duration': 2.08}
{'text': 'like a superpower or not is probably', 'start': 109.84, 'duration': 2.16}
{'text': "going to depend on where you're at in", 'start': 111.04, 'duration': 2.32}
{'text': "life or like what situation you're in", 'start': 112.0, 'duration': 2.72}
{'text': 'right', 'start': 113.36, 'duration': 3.039}
{'text': 'did you drop out of school too', 'start': 114.72, 'duration': 4.96}
{'text': 'uh out of college i was working too much', 'start': 116.399, 'duration': 5.121}
{'text': 'oh [\xa0__\xa0]', 'start': 119.68, 'duration': 2.96}
{'text': 'working too much about streaming and', 'start': 121.52, 'duration': 4.16}
{'text': "everything the [\xa0__\xa0] no it's a [\xa0__\xa0] uh", 'start': 122.64, 'duration': 5.599}
{'text': 'food service in a casino', 'start': 125.68, 'duration': 4.32}
{'text': 'oh yeah yeah and how did you like uh', 'start': 128.239, 'duration': 3.921}
{'text': 'being a service person i was [\xa0__\xa0]', 'start': 130.0, 'duration': 3.76}
{'text': 'horrible dealing with people as a', 'start': 132.16, 'duration': 3.2}
{'text': 'service worker is like the worst [\xa0__\xa0]', 'start': 133.76, 'duration': 3.44}
{'text': 'thing in the world people are discussing', 'start': 135.36, 'duration': 3.519}
{'text': 'horrible creatures that are just you', 'start': 137.2, 'duration': 2.56}
{'text': 'never want to have to deal with them you', 'start': 138.879, 'duration': 3.36}
{'text': "don't have to", 'start': 139.76, 'duration': 4.72}
