{'text': "is ideological you're asking me for", 'start': 1.08, 'duration': 4.52}
{'text': "pragmatic ways of disassembling that's", 'start': 3.6, 'duration': 4.56}
{'text': 'not what mel is saying at all oh my god', 'start': 5.6, 'duration': 4.48}
{'text': 'dude bob is so [\xa0__\xa0] mad in this', 'start': 8.16, 'duration': 3.28}
{'text': "conversation he's just", 'start': 10.08, 'duration': 4.8}
{'text': 'going full full steam ahead oh no', 'start': 11.44, 'duration': 5.839}
{'text': "wacky debaters you've never talked to me", 'start': 14.88, 'duration': 3.44}
{'text': 'you have nev', 'start': 17.279, 'duration': 4.961}
{'text': 'all right muted oh my god', 'start': 18.32, 'duration': 6.879}
{'text': 'josh is correct your ideas are harmful', 'start': 22.24, 'duration': 4.879}
{'text': 'you share them through communication', 'start': 25.199, 'duration': 4.961}
{'text': "oh okay i'm so sorry what's even", 'start': 27.119, 'duration': 4.32}
{'text': 'happening right now', 'start': 30.16, 'duration': 3.04}
{'text': "oh i mean i i just muted you i didn't", 'start': 31.439, 'duration': 2.881}
{'text': "hear anything that you said you've been", 'start': 33.2, 'duration': 2.0}
{'text': 'doing it to me', 'start': 34.32, 'duration': 4.64}
{'text': 'gotcha ready to get into it', 'start': 35.2, 'duration': 5.6}
{'text': 'well yeah um do you wanna do you want me', 'start': 38.96, 'duration': 3.68}
{'text': 'like do an intro do you wanna introduce', 'start': 40.8, 'duration': 3.439}
{'text': "i don't know how you do say who you are", 'start': 42.64, 'duration': 3.52}
{'text': 'and then i want to show the uh', 'start': 44.239, 'duration': 3.681}
{'text': 'god forsaken twitter thread that we were', 'start': 46.16, 'duration': 3.36}
{'text': 'arguing over and then we can discuss it', 'start': 47.92, 'duration': 2.959}
{'text': 'bit like that', 'start': 49.52, 'duration': 3.76}
{'text': 'i mean all right sure i mean i kind of', 'start': 50.879, 'duration': 3.601}
{'text': 'was hoping we were just going to bring', 'start': 53.28, 'duration': 1.84}
{'text': 'it you', 'start': 54.48, 'duration': 2.0}
{'text': 'bring up the topics from the twitter', 'start': 55.12, 'duration': 2.4}
{'text': "friend i don't really want to go through", 'start': 56.48, 'duration': 3.12}
{'text': 'like each individual tweet and like', 'start': 57.52, 'duration': 3.359}
{'text': "go through everyone's words because i", 'start': 59.6, 'duration': 3.36}
{'text': "think like we're both like hyperbolic", 'start': 60.879, 'duration': 2.881}
{'text': 'and spicy', 'start': 62.96, 'duration': 3.76}
{'text': "weirdos on the internet so i don't know", 'start': 63.76, 'duration': 4.56}
{'text': "is that you're stupid on twitter and i'm", 'start': 66.72, 'duration': 3.12}
{'text': "not so i think it'd be very impressive", 'start': 68.32, 'duration': 3.04}
{'text': 'for us to actually go through the stupid', 'start': 69.84, 'duration': 2.56}
{'text': '[\xa0__\xa0] you said rather than', 'start': 71.36, 'duration': 2.799}
{'text': 'letting you to run it back and present', 'start': 72.4, 'duration': 3.52}
{'text': 'some back-pedaled version of what', 'start': 74.159, 'duration': 4.0}
{'text': "why would i why would i do that i'm", 'start': 75.92, 'duration': 3.6}
{'text': 'coming here coming in high', 'start': 78.159, 'duration': 4.881}
{'text': 'so i mean oh my god look back pedaling', 'start': 79.52, 'duration': 6.4}
{'text': "okay i'm not backpedaling though like", 'start': 83.04, 'duration': 4.079}
{'text': "you're accusing me of something and we", 'start': 85.92, 'duration': 2.64}
{'text': "haven't even started", 'start': 87.119, 'duration': 2.881}
{'text': "before we even talk i'm going to play", 'start': 88.56, 'duration': 3.04}
{'text': 'the video clip that spawned all this', 'start': 90.0, 'duration': 3.2}
{'text': 'just 23 seconds really quick so', 'start': 91.6, 'duration': 2.32}
{'text': 'everybody has full', 'start': 93.2, 'duration': 4.0}
{'text': 'god dude look', 'start': 93.92, 'duration': 5.36}
{'text': "i get over consumption's a problem but", 'start': 97.2, 'duration': 3.36}
{'text': 'whether you like it or not', 'start': 99.28, 'duration': 5.519}
{'text': 'i mean i want my not', 'start': 100.56, 'duration': 6.239}
{'text': "i'm not on board for socialism it means", 'start': 104.799, 'duration': 3.68}
{'text': 'cutting standard of living into it like', 'start': 106.799, 'duration': 3.36}
{'text': 'a third of what it currently is', 'start': 108.479, 'duration': 4.0}
{'text': 'oh boy can you bring up the volume', 'start': 110.159, 'duration': 3.841}
{'text': "living standard down we shouldn't", 'start': 112.479, 'duration': 4.721}
{'text': 'have to what is the point of socialism', 'start': 114.0, 'duration': 5.2}
{'text': "if people's standard of living gets cut", 'start': 117.2, 'duration': 3.76}
{'text': "down so that was the clip and you're", 'start': 119.2, 'duration': 2.32}
{'text': 'familiar', 'start': 120.96, 'duration': 2.479}
