{'text': "what that's", 'start': 2.32, 'duration': 3.439}
{'text': "that's it oh hold on what name one kda", 'start': 3.439, 'duration': 3.521}
{'text': "song and i'll listen to it", 'start': 5.759, 'duration': 4.001}
{'text': "oh my god okay um [\xa0__\xa0] you haven't", 'start': 6.96, 'duration': 4.719}
{'text': 'listened to any of them right', 'start': 9.76, 'duration': 3.039}
{'text': 'i might have heard one in the past i', 'start': 11.679, 'duration': 4.0}
{'text': "don't know but listen to villain", 'start': 12.799, 'duration': 5.441}
{'text': "okay villain okay i'm gonna watch your", 'start': 15.679, 'duration': 4.161}
{'text': 'stream and watch your reaction', 'start': 18.24, 'duration': 3.92}
{'text': 'okay thank you all right bye be careful', 'start': 19.84, 'duration': 4.48}
{'text': 'bye', 'start': 22.16, 'duration': 2.16}
{'text': 'is this like league of legends stuff', 'start': 26.32, 'duration': 5.52}
{'text': '[Music]', 'start': 39.46, 'duration': 7.579}
{'text': 'evelyn like the champion', 'start': 42.879, 'duration': 4.16}
{'text': '[Music]', 'start': 50.79, 'duration': 4.01}
{'text': 'changed my mind can we watch something', 'start': 53.36, 'duration': 3.359}
{'text': 'else why', 'start': 54.8, 'duration': 3.68}
{'text': "watch more you have to watch more that's", 'start': 56.719, 'duration': 3.441}
{'text': 'like the basic one okay', 'start': 58.48, 'duration': 3.599}
{'text': 'give me what then what should i watch go', 'start': 60.16, 'duration': 3.28}
{'text': 'one katie more', 'start': 62.079, 'duration': 3.36}
{'text': 'watch that one okay i wanna i wanna', 'start': 63.44, 'duration': 4.08}
{'text': 'watch your reaction', 'start': 65.439, 'duration': 3.281}
{'text': "okay thank you bye i'm sorry for", 'start': 67.52, 'duration': 6.32}
{'text': 'disappointing you okay', 'start': 68.72, 'duration': 5.12}
{'text': 'every day', 'start': 77.52, 'duration': 10.32}
{'text': "do you think lily's having that moment", 'start': 97.04, 'duration': 2.16}
{'text': 'where you think you have something', 'start': 98.159, 'duration': 1.92}
{'text': "that's like really cool and you want to", 'start': 99.2, 'duration': 2.08}
{'text': "show a friend and then you're watching", 'start': 100.079, 'duration': 2.72}
{'text': 'it together and you realize', 'start': 101.28, 'duration': 4.0}
{'text': 'oh no', 'start': 102.799, 'duration': 2.481}
