{'text': 'hello', 'start': 3.199, 'duration': 4.001}
{'text': 'yes all right wonderful um yeah so', 'start': 4.319, 'duration': 3.52}
{'text': 'basically', 'start': 7.2, 'duration': 2.479}
{'text': 'my question that i had or you know to', 'start': 7.839, 'duration': 3.041}
{'text': 'start off big fan', 'start': 9.679, 'duration': 4.641}
{'text': 'you know yeah uh i like your stream', 'start': 10.88, 'duration': 6.159}
{'text': "and basically my question is uh it's", 'start': 14.32, 'duration': 5.119}
{'text': 'kind of repeated what i said in chat but', 'start': 17.039, 'duration': 6.48}
{'text': 'if someone is uh you know you said that', 'start': 19.439, 'duration': 5.92}
{'text': "someone even if they've done something", 'start': 23.519, 'duration': 3.84}
{'text': 'bad in order to get into a situation', 'start': 25.359, 'duration': 3.92}
{'text': 'where they have to defend themselves', 'start': 27.359, 'duration': 3.441}
{'text': "they're still justified in defending", 'start': 29.279, 'duration': 3.361}
{'text': "themselves they don't lose that right", 'start': 30.8, 'duration': 2.88}
{'text': 'generally depending on what the bad', 'start': 32.64, 'duration': 3.36}
{'text': 'thing is but yeah yeah what if', 'start': 33.68, 'duration': 4.879}
{'text': "the person that's trying to aggress on", 'start': 36.0, 'duration': 3.92}
{'text': 'them is aggressing on them', 'start': 38.559, 'duration': 4.401}
{'text': 'specifically as a result of the bad', 'start': 39.92, 'duration': 5.04}
{'text': 'things they did previously', 'start': 42.96, 'duration': 3.279}
{'text': 'well it depends on what that bad thing', 'start': 44.96, 'duration': 2.72}
{'text': 'is if that bad thing is something that', 'start': 46.239, 'duration': 3.041}
{'text': 'is aggressing on somebody else or', 'start': 47.68, 'duration': 2.879}
{'text': 'threatening somebody else', 'start': 49.28, 'duration': 2.48}
{'text': 'or somebody or something somebody else', 'start': 50.559, 'duration': 4.0}
{'text': 'can defend then sure', 'start': 51.76, 'duration': 2.799}
{'text': "wait wait so you okay so you'd say uh", 'start': 55.68, 'duration': 4.24}
{'text': 'that for the example', 'start': 58.8, 'duration': 4.96}
{'text': 'of a um of like a', 'start': 59.92, 'duration': 6.879}
{'text': 'uh you know your bar example um you have', 'start': 63.76, 'duration': 4.88}
{'text': 'a girl who goes in underage and she', 'start': 66.799, 'duration': 3.041}
{'text': 'brings the gun', 'start': 68.64, 'duration': 3.36}
{'text': 'um if a bouncer later realizes that', 'start': 69.84, 'duration': 3.12}
{'text': "she's uh", 'start': 72.0, 'duration': 3.28}
{'text': 'underage and goes to you know aggress on', 'start': 72.96, 'duration': 3.68}
{'text': 'her to throw her out', 'start': 75.28, 'duration': 3.92}
{'text': "uh she's not justified in uh you know", 'start': 76.64, 'duration': 4.08}
{'text': 'defending herself against the bouncer', 'start': 79.2, 'duration': 2.0}
{'text': 'because', 'start': 80.72, 'duration': 2.32}
{'text': "she was trespassing there she didn't", 'start': 81.2, 'duration': 3.279}
{'text': "have a right to be there yeah she's", 'start': 83.04, 'duration': 4.0}
{'text': "aggressing she's trespassing yeah", 'start': 84.479, 'duration': 6.0}
{'text': 'okay um how would you feel about', 'start': 87.04, 'duration': 7.119}
{'text': 'uh would the protester attacking kyle', 'start': 90.479, 'duration': 6.64}
{'text': 'be justified if they had the sincere', 'start': 94.159, 'duration': 4.0}
{'text': 'belief', 'start': 97.119, 'duration': 4.401}
{'text': 'that um kyle had absolutely no right to', 'start': 98.159, 'duration': 3.92}
{'text': 'be there', 'start': 101.52, 'duration': 3.52}
{'text': 'defending any of those uh properties uh', 'start': 102.079, 'duration': 5.201}
{'text': 'defending those properties with a gun', 'start': 105.04, 'duration': 6.48}
{'text': 'um and that in doing so uh he was', 'start': 107.28, 'duration': 7.839}
{'text': 'um he was sort of actively threatening', 'start': 111.52, 'duration': 5.84}
{'text': 'the entire crowd just by the fact of', 'start': 115.119, 'duration': 3.28}
{'text': 'being there', 'start': 117.36, 'duration': 4.0}
{'text': 'and being obviously uh ready and willing', 'start': 118.399, 'duration': 3.281}
{'text': 'to', 'start': 121.36, 'duration': 2.56}
{'text': 'use that kind of lethal force what is', 'start': 121.68, 'duration': 3.759}
{'text': "their so i'd have to ask what their", 'start': 123.92, 'duration': 3.68}
{'text': 'standing is what purpose or why do they', 'start': 125.439, 'duration': 3.361}
{'text': 'have a right to defend', 'start': 127.6, 'duration': 3.12}
{'text': "said location if it's public property", 'start': 128.8, 'duration': 3.04}
{'text': "they don't own it right they don't know", 'start': 130.72, 'duration': 3.28}
{'text': "i don't think they have the standing to", 'start': 131.84, 'duration': 3.44}
{'text': 'when i say standing i mean like you have', 'start': 134.0, 'duration': 3.04}
{'text': 'a reason to like be involved in this', 'start': 135.28, 'duration': 3.76}
{'text': 'dispute', 'start': 137.04, 'duration': 5.36}
{'text': 'yeah okay so', 'start': 139.04, 'duration': 6.08}
{'text': "yeah so you'd say that okay yeah so then", 'start': 142.4, 'duration': 3.76}
{'text': "you'd say that if the", 'start': 145.12, 'duration': 4.56}
{'text': "uh if the protester wasn't um", 'start': 146.16, 'duration': 5.52}
{'text': "uh that like the protester doesn't", 'start': 149.68, 'duration': 3.199}
{'text': 'really have any', 'start': 151.68, 'duration': 4.32}
{'text': 'like in terms of defending the the pro', 'start': 152.879, 'duration': 4.801}
{'text': 'well like the protester is trying to', 'start': 156.0, 'duration': 3.28}
{'text': 'defend the their oh', 'start': 157.68, 'duration': 4.559}
{'text': 'their other fellow protesters and um i', 'start': 159.28, 'duration': 3.2}
{'text': 'mean', 'start': 162.239, 'duration': 2.161}
{'text': 'they felt like that other protesters', 'start': 162.48, 'duration': 3.68}
{'text': 'being like aggressed on like if kyle for', 'start': 164.4, 'duration': 3.04}
{'text': 'instance or anybody were to be', 'start': 166.16, 'duration': 2.719}
{'text': 'threatening towards a person', 'start': 167.44, 'duration': 3.12}
{'text': 'then absolutely yeah then you have a', 'start': 168.879, 'duration': 3.36}
{'text': 'right but just somebody simply being in', 'start': 170.56, 'duration': 3.36}
{'text': "an area i don't think counts as them", 'start': 172.239, 'duration': 4.481}
{'text': 'aggressing on you', 'start': 173.92, 'duration': 2.8}
{'text': 'all right cool uh oh yeah i can accept', 'start': 177.36, 'duration': 4.239}
{'text': "that that's fair", 'start': 180.319, 'duration': 4.321}
{'text': 'um and my one other question', 'start': 181.599, 'duration': 6.081}
{'text': "is also sort of related um i'm not sure", 'start': 184.64, 'duration': 5.599}
{'text': 'how i feel about the uh', 'start': 187.68, 'duration': 5.839}
{'text': 'your thing where it was uh how like', 'start': 190.239, 'duration': 5.441}
{'text': 'basically random people like they can go', 'start': 193.519, 'duration': 3.201}
{'text': 'out and defend', 'start': 195.68, 'duration': 3.44}
{'text': 'sort of any property they want if they', 'start': 196.72, 'duration': 3.68}
{'text': 'you know if they think it needs to be', 'start': 199.12, 'duration': 2.72}
{'text': 'defended they can just go and defend it', 'start': 200.4, 'duration': 1.839}
{'text': 'with', 'start': 201.84, 'duration': 3.36}
{'text': 'like with moral impunity i think they', 'start': 202.239, 'duration': 4.08}
{'text': 'could yeah', 'start': 205.2, 'duration': 3.119}
{'text': "i don't know but like so you really", 'start': 206.319, 'duration': 3.441}
{'text': "think it's okay that like", 'start': 208.319, 'duration': 2.801}
{'text': "you know let's say you're a small", 'start': 209.76, 'duration': 2.96}
{'text': 'business owner you run a convenience', 'start': 211.12, 'duration': 2.24}
{'text': 'store', 'start': 212.72, 'duration': 3.76}
{'text': 'and some dude with a [\xa0__\xa0] uh ar', 'start': 213.36, 'duration': 5.68}
{'text': 'just posts up in front of your store and', 'start': 216.48, 'duration': 3.039}
{'text': 'they just', 'start': 219.04, 'duration': 2.479}
{'text': 'stand there and they just you know they', 'start': 219.519, 'duration': 4.881}
{'text': 'police everyone coming in and out like', 'start': 221.519, 'duration': 5.681}
{'text': "if you um like you didn't ask them to be", 'start': 224.4, 'duration': 3.28}
{'text': 'there', 'start': 227.2, 'duration': 3.92}
{'text': "that's the they're making uh customers", 'start': 227.68, 'duration': 5.44}
{'text': 'going into your store uncomfortable and', 'start': 231.12, 'duration': 3.36}
{'text': "you think they're like", 'start': 233.12, 'duration': 4.08}
{'text': 'you know maybe going to harm uh and you', 'start': 234.48, 'duration': 4.319}
{'text': 'think that you know them being there is', 'start': 237.2, 'duration': 2.48}
{'text': 'actually harming', 'start': 238.799, 'duration': 3.041}
{'text': "your business well then they're just", 'start': 239.68, 'duration': 3.36}
{'text': "trespassing they're not they're", 'start': 241.84, 'duration': 2.56}
{'text': "protecting you on your behalf they're", 'start': 243.04, 'duration': 1.68}
{'text': 'just', 'start': 244.4, 'duration': 3.36}
{'text': 'trespassing well yeah but if you but', 'start': 244.72, 'duration': 5.12}
{'text': 'like do people have a right like', 'start': 247.76, 'duration': 5.28}
{'text': 'is that a right where like unless the', 'start': 249.84, 'duration': 5.28}
{'text': 'business owner specifically says oh no', 'start': 253.04, 'duration': 4.319}
{'text': "you shouldn't defend my property", 'start': 255.12, 'duration': 3.519}
{'text': 'that you can still go out and just', 'start': 257.359, 'duration': 2.961}
{'text': '[\xa0__\xa0] defend it like you just post up', 'start': 258.639, 'duration': 3.12}
{'text': "and be like yeah no i'm defending this", 'start': 260.32, 'duration': 2.56}
{'text': "right now well no if you're on their", 'start': 261.759, 'duration': 2.401}
{'text': 'property scaring off customers', 'start': 262.88, 'duration': 2.8}
{'text': "you're clearly trespassing especially if", 'start': 264.16, 'duration': 3.2}
{'text': 'the business owner says [\xa0__\xa0] off', 'start': 265.68, 'duration': 3.28}
{'text': "well i mean if you're like outside there", 'start': 267.36, 'duration': 2.64}
{'text': "like if you're like you're like just", 'start': 268.96, 'duration': 2.48}
{'text': "you're out in public then you can do", 'start': 270.0, 'duration': 2.72}
{'text': "whatever you want sure that's fine", 'start': 271.44, 'duration': 2.56}
{'text': "as long as you're not on their property", 'start': 272.72, 'duration': 3.68}
{'text': 'then sure', 'start': 274.0, 'duration': 2.4}
{'text': "i don't know i don't it just seems kind", 'start': 277.199, 'duration': 3.921}
{'text': 'of weird right like', 'start': 279.52, 'duration': 4.32}
{'text': 'having a um like being able to just like', 'start': 281.12, 'duration': 3.44}
{'text': 'roll up to', 'start': 283.84, 'duration': 2.4}
{'text': 'like the outside like the entrance to', 'start': 284.56, 'duration': 3.76}
{'text': 'like a mall or something just [\xa0__\xa0]', 'start': 286.24, 'duration': 4.399}
{'text': 'fully armed and just act like a security', 'start': 288.32, 'duration': 3.52}
{'text': 'guard', 'start': 290.639, 'duration': 2.881}
{'text': 'i mean i guess if you want to i mean', 'start': 291.84, 'duration': 5.76}
{'text': "it's yours", 'start': 293.52, 'duration': 6.48}
{'text': "i don't know i feel like what could you", 'start': 297.6, 'duration': 3.68}
{'text': 'what if what if like some people just', 'start': 300.0, 'duration': 2.0}
{'text': 'wanted to', 'start': 301.28, 'duration': 3.6}
{'text': 'like do like neighborhood watch where', 'start': 302.0, 'duration': 4.24}
{'text': 'they walked up and down the street', 'start': 304.88, 'duration': 3.28}
{'text': 'with knives or whatever i guess and just', 'start': 306.24, 'duration': 2.88}
{'text': 'walk up and down making sure that like', 'start': 308.16, 'duration': 1.84}
